"",BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1P.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA._T.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.D.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.S._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S12T.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL,BBFBOPV.M.N.DE.W1.S121.S1.T.A.FA.R.F._Z.EUR.X1._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.FA.P.F._Z.EUR._T.M.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.C.G._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.A.FA.F.F7.T.EUR._T.T.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.N.EO._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.B.KA._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S13.S1.T.N.FA.O.F._Z.EUR._T._X.N.ALL_FLAGS,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL,BBFBOPV.M.N.DE.W1.S1.S1.T.D.IN1._Z._Z._Z.EUR._T._X.N.ALL_FLAGS
2012-08,20548.958,,23062.793,,16807.205,,5861.293,,5041.630,,70249.458,,-3241.480,,-5575.797,,14527.831,,16020.742,,17255.573,,6929.718,,-6255.588,,-19630.161,,388.892,,3657.492,,1248.300,,87505.031,,919.291,,13619.798,,300.909,,607.124,,6898.972,,9698.630,,10159.449,
2012-09,-53620.936,,20733.655,,17185.266,,5911.010,,7284.278,,71633.552,,-2842.133,,5322.045,,27664.750,,16246.126,,17687.234,,4992.431,,-3548.389,,52295.255,,-281.392,,4008.856,,15391.222,,89320.786,,278.211,,17207.722,,9685.044,,771.984,,6850.989,,3287.914,,10335.116,
2012-10,-6163.256,,20598.838,,16691.881,,6404.436,,2961.791,,79695.553,,-3042.648,,-9500.938,,15223.782,,16448.916,,16562.460,,2757.270,,-3906.957,,27.030,,176.111,,3636.079,,6193.545,,96258.013,,3135.065,,16017.291,,-1004.956,,211.447,,6678.727,,18598.955,,10044.480,
2012-11,5581.105,,17781.722,,16259.199,,6280.539,,36637.246,,72907.335,,-2639.162,,8515.152,,24012.566,,16249.711,,17777.155,,-3235.874,,-1522.523,,22443.464,,-308.272,,3421.579,,-11721.606,,90684.490,,2641.072,,19896.009,,3774.659,,341.898,,6060.741,,97.525,,9969.172,
2012-12,-55692.534,,18771.699,,21208.115,,11660.291,,-3819.865,,64633.430,,-5279.616,,-10183.064,,24584.286,,22165.467,,11777.554,,-14033.234,,2436.416,,46570.461,,-361.497,,3939.824,,41737.228,,76410.984,,1061.654,,20594.645,,6611.560,,-2621.919,,9219.440,,15485.272,,10505.176,
2013-01,-35016.259,,19581.234,,16048.030,,4255.048,,-41548.948,,72319.200,,-5278.148,,17108.071,,-12409.138,,15337.169,,14280.269,,1645.906,,-3533.204,,-21928.575,,493.380,,4344.028,,26357.754,,86599.469,,642.770,,9723.965,,-22300.038,,166.935,,9622.176,,-1712.185,,11082.121,
2013-02,1531.974,,17493.599,,14310.350,,5025.652,,23999.783,,69672.081,,-6800.107,,1972.429,,15320.216,,14570.352,,16065.209,,10032.782,,-3183.249,,22542.294,,-321.424,,3963.311,,-20975.240,,85737.290,,2584.315,,11107.505,,4328.081,,-115.370,,10763.418,,-2046.914,,9544.700,
2013-03,-9954.623,,19424.213,,16679.067,,5781.615,,-3625.742,,71899.254,,-3752.735,,-2511.080,,31378.735,,15629.457,,21015.077,,4567.397,,-2745.146,,8722.784,,-85.780,,10641.048,,27582.213,,92914.331,,2940.647,,20298.811,,10722.228,,357.696,,14393.783,,117.177,,9847.842,
2013-04,3647.687,,18556.345,,16479.583,,750.898,,-19868.133,,72693.819,,-2181.634,,-10346.108,,20619.529,,15805.293,,19431.023,,1272.952,,-2076.762,,-15111.113,,56.324,,5359.821,,36415.779,,92124.842,,2742.607,,15923.525,,4516.410,,179.594,,7541.455,,1941.401,,15054.395,
2013-05,-10919.021,,20131.288,,16314.332,,2128.305,,9328.057,,70410.611,,-2056.559,,551.576,,7940.752,,16362.449,,16014.848,,1410.984,,-3816.956,,19430.123,,-22.496,,5235.061,,-8253.705,,86425.459,,5477.912,,12269.638,,-4594.231,,265.345,,7291.620,,265.379,,14234.144,
2013-06,-2391.219,,21544.965,,17784.417,,4927.906,,-21.084,,72518.649,,-3141.855,,1546.841,,31490.884,,15719.381,,17004.609,,8418.985,,-3760.548,,8846.990,,37.792,,4679.520,,24973.358,,89523.258,,-1918.167,,15030.112,,16161.131,,299.641,,7821.375,,-8023.696,,10791.475,
2013-07,-4226.804,,23321.279,,17541.532,,5549.344,,-17590.640,,74968.042,,-3254.036,,-1535.553,,6663.799,,15607.036,,16033.352,,-9052.816,,-5779.747,,-13456.005,,-653.813,,4460.453,,32359.662,,91001.394,,1601.406,,12548.913,,-5582.338,,-302.776,,7714.489,,1627.722,,10057.692,
2013-08,-4143.455,,23005.629,,16780.701,,5521.396,,13973.146,,71059.253,,-3518.460,,-4044.712,,26567.942,,14938.515,,12810.462,,7949.730,,-6224.928,,12447.625,,425.246,,3923.360,,4138.894,,83869.715,,80.926,,8588.470,,17798.579,,180.893,,7441.820,,9713.688,,9417.119,
2013-09,-3296.649,,22014.226,,18924.149,,4809.224,,19051.279,,72821.185,,-2425.369,,5752.526,,24146.164,,15296.929,,19994.065,,2694.035,,-3090.077,,16538.767,,-555.933,,4757.135,,1347.877,,92815.250,,1608.906,,19287.843,,4724.953,,133.368,,7182.504,,56.635,,10487.705,
2013-10,-30867.274,,22048.913,,16875.644,,5882.177,,18267.101,,78033.914,,-2887.118,,22600.864,,20342.494,,15362.356,,18688.279,,-9344.904,,-5173.269,,26677.385,,-212.005,,4033.862,,8709.014,,96722.193,,2923.288,,16510.069,,3325.100,,507.325,,6920.980,,-143.874,,9480.179,
2013-11,-3275.498,,19272.417,,17710.835,,5613.293,,16088.219,,74047.277,,-2087.538,,-1902.752,,26401.070,,14837.634,,19162.383,,7063.461,,-1561.582,,12752.162,,407.270,,4133.907,,-696.418,,93209.660,,3538.538,,21126.556,,5111.636,,162.878,,6221.445,,8514.307,,9224.341,
2013-12,-23712.600,,21183.821,,22808.399,,13039.245,,4984.660,,67213.117,,-6029.562,,4858.406,,27551.173,,22805.994,,13302.227,,-6514.485,,1624.578,,24126.606,,1268.956,,4789.365,,26141.211,,80515.344,,1670.831,,21936.488,,8012.988,,-2398.303,,10818.927,,-287.752,,9766.749,
2014-01,-14046.094,,19353.385,,17584.358,,4483.675,,-25428.570,,73131.370,,-4382.077,,-3896.791,,6141.949,,15155.123,,15669.878,,14436.964,,-1769.027,,-8423.610,,-374.569,,4546.057,,15795.499,,88801.248,,1712.625,,14002.449,,-9340.441,,1479.941,,8928.133,,937.925,,10671.448,
2014-02,10076.694,,17888.039,,15910.649,,5374.261,,37846.064,,73090.273,,-7357.000,,2927.012,,16496.853,,14560.473,,16620.753,,-595.713,,-1977.390,,22108.986,,-898.001,,4221.813,,-23013.944,,89711.026,,3158.447,,12660.623,,3424.384,,411.846,,11578.814,,2733.371,,9186.212,
2014-03,-17879.837,,19091.159,,18686.906,,5962.647,,-13058.974,,74307.315,,-3154.132,,15574.322,,34530.684,,15436.400,,19377.051,,10051.768,,-404.253,,-14822.140,,708.054,,8965.809,,36868.429,,93684.366,,-38.593,,21781.313,,12501.662,,247.709,,12119.941,,4068.681,,9473.753,
2014-04,-13193.754,,18647.793,,17738.371,,2489.048,,-37019.667,,73464.450,,-3274.645,,-14215.974,,29615.326,,15601.675,,18309.422,,12798.833,,-909.421,,405.174,,150.864,,4956.205,,49276.293,,91773.872,,4409.002,,16614.404,,12822.134,,178.788,,8230.851,,-10015.113,,13112.627,
2014-05,-13534.963,,19745.423,,18414.276,,-3412.439,,33548.485,,72942.782,,-1115.754,,14903.115,,7192.058,,16282.204,,17146.191,,3371.327,,-1331.147,,20027.044,,-630.618,,6902.139,,-34794.773,,90088.973,,5697.638,,11286.850,,-4042.661,,-52.131,,8017.893,,12153.289,,19694.643,
2014-06,1581.045,,22181.473,,19228.055,,3986.629,,7603.831,,73516.086,,-2735.198,,-9758.957,,31709.297,,15499.315,,17499.009,,3269.790,,-2953.417,,21398.991,,-130.035,,5559.835,,21068.818,,91015.095,,-103.107,,15797.023,,15512.730,,399.543,,8295.033,,-5617.248,,11512.687,
2014-07,3572.931,,23397.352,,19311.283,,5190.422,,-16940.279,,75851.707,,-3398.391,,-19169.273,,4065.969,,15431.827,,21826.478,,4812.825,,-4086.069,,-545.687,,430.795,,4426.569,,12429.346,,97678.185,,3333.282,,19532.440,,-15439.510,,-26.961,,7824.961,,-798.249,,10241.405,
2014-08,18968.682,,23882.538,,17806.582,,5246.676,,34513.644,,68211.906,,-2346.455,,10286.448,,13706.434,,14965.820,,13519.780,,-4566.372,,-6075.955,,-5049.407,,165.777,,4500.369,,-19515.573,,81731.686,,3108.959,,10344.046,,2964.280,,398.108,,6846.823,,10307.920,,9719.144,
2014-09,9792.905,,23045.528,,20110.513,,5988.437,,-12754.124,,77497.479,,-2326.771,,715.330,,23398.308,,15738.979,,22445.342,,8686.981,,-2935.015,,-22352.069,,-265.024,,4673.159,,23029.874,,99942.821,,4700.602,,23171.993,,-161.483,,387.798,,6999.930,,-910.290,,9750.542,
2014-10,-21298.229,,23447.689,,19421.016,,6040.329,,9237.504,,79930.231,,-2599.531,,3810.655,,10456.436,,15553.584,,22249.146,,-5631.503,,-4026.673,,19509.270,,203.381,,4385.083,,3346.818,,102179.377,,3300.235,,21663.271,,-11068.513,,-138.322,,6984.614,,7215.809,,9513.255,
2014-11,-5219.996,,19529.596,,18271.223,,6203.633,,2151.027,,75718.814,,-3535.915,,201.787,,14987.040,,15482.885,,17640.661,,-705.975,,-1258.372,,4288.119,,30.315,,4324.456,,6876.684,,93359.475,,6634.989,,19050.007,,-4195.507,,132.540,,7860.371,,2881.117,,9279.252,
2014-12,-2425.583,,23932.943,,26356.499,,11092.604,,-16742.864,,69631.765,,-5269.220,,-21527.161,,38631.048,,21789.221,,17325.316,,19699.189,,2423.556,,7180.355,,-1955.277,,5013.667,,34997.035,,86957.081,,2632.965,,25572.256,,13223.033,,-164.241,,10282.887,,29.524,,10696.618,
2015-01,-316.511,,20209.132,,19309.305,,5317.618,,-15138.528,,72445.803,,-4260.755,,5478.105,,-14559.041,,15928.258,,15531.111,,425.270,,-899.827,,-24626.136,,372.303,,5287.543,,-5880.693,,87976.914,,5662.607,,15688.148,,-30310.319,,63.130,,9548.298,,4326.013,,10610.640,
2015-02,6458.542,,18231.020,,17169.457,,6152.894,,-380.029,,73902.773,,-7426.908,,-2400.399,,16577.714,,15419.663,,19227.086,,4936.214,,-1061.564,,6005.904,,266.124,,4873.408,,3884.265,,93129.859,,7871.139,,16891.509,,-393.827,,80.033,,12300.316,,-10444.075,,9266.769,
2015-03,27641.824,,21526.344,,21306.170,,8115.010,,-20602.368,,81233.743,,-5399.871,,-60.149,,17204.550,,16940.656,,25198.957,,12824.424,,-220.174,,-47854.471,,-659.916,,7638.329,,25080.595,,106432.700,,561.814,,27693.921,,-10707.144,,217.773,,13038.200,,-329.572,,8825.646,
2015-04,-1310.363,,20259.296,,19657.349,,3984.439,,7759.008,,76530.319,,-2878.137,,1683.022,,30465.696,,16645.696,,20707.210,,3857.732,,-601.947,,4623.792,,-69.288,,5963.957,,15793.827,,97237.529,,3124.416,,21211.565,,8857.935,,396.196,,8842.093,,2762.558,,12661.257,
2015-05,-6377.866,,21061.878,,19815.801,,-4540.896,,6387.598,,74074.658,,-221.442,,6726.536,,15670.602,,17065.946,,19793.072,,-1265.006,,-1246.077,,4579.498,,-77.690,,8437.329,,12237.970,,93867.730,,-1612.270,,13784.658,,1378.391,,507.553,,8658.771,,1459.430,,21606.842,
2015-06,1449.142,,23254.029,,21985.364,,1952.428,,-3301.108,,78635.859,,-1201.978,,-5132.302,,25213.470,,16469.840,,24576.884,,5791.303,,-1268.665,,548.725,,-317.563,,7110.719,,17980.131,,103212.743,,5060.707,,24058.668,,885.602,,269.201,,8312.697,,-166.674,,14517.412,
2015-07,6907.306,,24693.569,,21674.351,,7288.925,,-14548.695,,80901.121,,-2810.226,,-3807.305,,25462.777,,16786.415,,23053.364,,11193.601,,-3019.217,,-19853.017,,-1170.124,,5120.143,,26807.965,,103954.485,,3180.030,,24512.846,,480.201,,469.731,,7930.369,,2204.321,,9497.490,
2015-08,22185.103,,24254.448,,19511.229,,6670.127,,21662.985,,70632.526,,-2775.103,,-2031.396,,19281.860,,16060.117,,15347.263,,-633.223,,-4743.219,,3259.221,,-180.100,,4982.402,,-1650.916,,85979.789,,83.113,,14499.069,,4670.879,,111.912,,7757.505,,-1749.943,,9389.990,
2015-09,-27679.687,,24553.498,,21586.042,,6984.632,,4742.788,,79207.376,,-1574.655,,-6094.355,,28756.507,,16199.944,,24633.735,,510.580,,-2967.456,,35536.170,,-104.842,,5407.211,,25288.436,,103841.111,,-1680.455,,27076.256,,1476.888,,203.363,,6981.867,,2980.660,,9215.312,
2015-10,1845.594,,25300.011,,20633.583,,7400.500,,7008.225,,80003.415,,-3104.952,,6476.224,,15334.950,,16387.865,,22684.748,,1238.522,,-4666.428,,-1716.693,,153.724,,4962.350,,3569.015,,102688.163,,3365.463,,22313.868,,-6935.444,,-43.474,,8067.302,,403.100,,8987.365,
2015-11,15831.479,,21463.366,,20760.772,,7721.023,,-8529.818,,79286.194,,-2839.200,,-2508.964,,34348.785,,16605.062,,21488.448,,17855.376,,-702.594,,-25249.456,,-548.491,,6135.520,,20015.501,,100774.642,,5556.217,,25667.677,,8455.227,,225.880,,8974.720,,3397.123,,8884.039,
2015-12,-7640.462,,27027.738,,29908.707,,12277.477,,-29846.913,,71346.041,,-4927.235,,-32423.320,,23974.988,,22272.260,,16151.854,,4950.512,,2880.969,,15811.143,,123.255,,5849.711,,49533.333,,87497.895,,-785.199,,26383.065,,-171.602,,-2236.475,,10776.946,,-5594.274,,9994.783,
2016-01,11366.897,,20674.585,,19130.262,,6282.824,,-11470.294,,72731.955,,-2320.993,,1208.297,,-5194.717,,16859.056,,13655.108,,-3562.273,,-1544.322,,-30686.537,,-186.129,,4814.077,,11229.757,,86387.063,,-1205.777,,16072.617,,-21146.881,,-120.453,,7135.069,,6641.049,,10576.232,
2016-02,1705.792,,20413.913,,20110.760,,7719.272,,2078.441,,75824.159,,-6926.288,,1281.338,,14260.889,,16968.819,,20892.629,,5716.090,,-303.154,,1519.469,,1478.344,,6748.815,,-784.367,,96716.788,,5772.381,,21382.460,,-7501.248,,379.678,,13675.103,,-2428.157,,9249.547,
2016-03,1128.765,,23118.153,,21494.716,,9089.363,,-5476.216,,77671.629,,-3352.835,,-2885.746,,18192.555,,17663.528,,26523.840,,7074.297,,-1623.437,,-433.027,,-64.436,,4683.660,,15162.875,,104195.469,,1496.035,,30636.930,,-11563.622,,-880.753,,8036.495,,-3286.208,,8574.166,
2016-04,13187.908,,21306.999,,20594.821,,4920.314,,-13017.779,,76108.359,,-1590.844,,5489.394,,28662.582,,17218.584,,26301.100,,-3768.985,,-712.178,,-28625.438,,696.039,,5568.999,,42980.993,,102409.459,,1772.313,,28918.392,,-1397.889,,1142.079,,7159.843,,-3069.642,,12298.270,
2016-05,23939.667,,22385.003,,21375.844,,-1884.805,,23096.069,,73360.029,,-508.007,,7531.551,,23128.359,,18358.708,,21515.521,,-2713.104,,-1009.159,,-13948.392,,775.896,,7247.804,,411.234,,94875.550,,1558.264,,18113.550,,4904.203,,110.607,,7755.811,,5573.243,,20243.514,
2016-06,8658.455,,25298.200,,22997.502,,2057.232,,3641.831,,79990.367,,-957.522,,-11229.395,,25373.404,,17541.850,,24579.422,,-2788.520,,-2300.697,,11920.319,,-710.695,,6584.837,,24729.931,,104569.789,,500.858,,23378.434,,2019.160,,-24.190,,7542.359,,-5707.548,,15484.618,
2016-07,-21261.227,,24742.960,,21209.854,,6872.199,,-21792.541,,74573.930,,-3160.578,,12622.864,,22155.390,,17213.452,,19826.391,,7301.198,,-3533.107,,-16440.072,,341.812,,4804.199,,32985.241,,94400.321,,3319.680,,20004.905,,2198.534,,-48.050,,7964.776,,3285.894,,10341.254,
2016-08,10746.839,,26438.006,,21469.974,,7566.640,,19595.229,,75247.358,,-4243.758,,8031.234,,20168.655,,16923.420,,18948.243,,4828.388,,-4968.032,,-2447.480,,92.784,,4685.172,,-6500.625,,94195.601,,2152.879,,17303.093,,3133.418,,-267.856,,8928.930,,3264.635,,9356.780,
2016-09,14050.588,,25683.378,,22578.669,,6201.006,,442.269,,79789.341,,-3398.883,,-4114.069,,23290.353,,16964.576,,24477.224,,2085.690,,-3104.709,,-11383.269,,-695.293,,5476.908,,15894.315,,104266.565,,5563.371,,24174.638,,-1219.905,,335.619,,8875.791,,1889.019,,10763.570,
2016-10,-774.409,,24971.884,,21458.353,,7634.133,,-10214.084,,79981.239,,-3344.414,,-7693.618,,25111.382,,16979.217,,19225.186,,10976.690,,-3513.531,,4483.287,,-144.523,,4990.854,,18457.898,,99206.425,,6035.401,,20001.373,,5307.537,,-197.528,,8335.269,,-6229.344,,9345.083,
2016-11,36815.327,,22904.256,,22632.261,,8086.194,,5645.231,,83628.962,,-4689.198,,-513.117,,26884.756,,17450.604,,22541.581,,2122.333,,-271.995,,-25144.530,,139.995,,4423.312,,14631.612,,106170.543,,4345.585,,25666.582,,1435.349,,-217.175,,9112.510,,-5512.449,,9364.410,
2016-12,-39922.896,,28154.585,,30051.966,,12713.922,,-4305.334,,77849.891,,-3986.499,,-17028.958,,36872.851,,23035.610,,13922.391,,16190.166,,1897.381,,42957.767,,-38.111,,5385.935,,27732.000,,91772.282,,-2705.871,,24547.195,,10087.004,,2238.651,,9372.434,,9688.753,,10321.688,
2017-01,57394.724,,22502.429,,21971.353,,7416.961,,-547.083,,82349.716,,-6939.809,,428.407,,4684.017,,16183.990,,15334.605,,7955.955,,-531.076,,-53399.994,,-123.853,,4556.339,,-2853.464,,97684.321,,252.463,,15280.682,,-10374.998,,-221.667,,11496.147,,-4970.220,,8767.029,
2017-02,-12645.122,,20946.385,,19936.367,,4973.488,,-22033.449,,79076.889,,-4449.788,,-10917.670,,17066.439,,16122.691,,21593.579,,2820.215,,-1010.018,,-1285.060,,-215.607,,5025.129,,33220.119,,100670.468,,3275.161,,21107.260,,-4173.841,,133.020,,9474.918,,2814.403,,11149.204,
2017-03,1269.746,,25086.010,,23751.689,,8820.019,,20715.445,,89087.868,,-2609.659,,-664.630,,42510.774,,17671.749,,27176.486,,11372.587,,-1334.321,,19807.169,,-20.898,,7920.692,,12061.285,,116264.354,,-1617.645,,32052.525,,10147.878,,310.371,,10530.351,,303.160,,8851.730,
2017-04,36211.620,,23270.157,,21852.960,,5304.030,,-488.056,,80026.296,,-8433.310,,414.264,,22799.277,,17278.784,,19155.733,,1785.312,,-1417.197,,-34393.635,,-1.888,,5390.685,,19612.615,,99182.029,,1891.294,,14609.257,,8672.939,,-482.919,,13823.995,,-2720.306,,11974.754,
2017-05,13560.631,,25044.372,,23157.952,,-4763.602,,17056.916,,86592.182,,-1121.204,,6195.204,,9856.522,,17528.298,,21822.206,,7584.284,,-1886.420,,-6266.119,,-46.856,,7782.724,,-16289.479,,108414.388,,1551.658,,14050.979,,-4113.661,,-80.796,,8903.928,,3567.200,,22291.899,
2017-06,-19418.520,,27317.028,,24872.032,,3950.895,,18789.368,,82090.010,,-3041.809,,7232.397,,42107.833,,17589.268,,23768.750,,-405.003,,-2444.997,,32880.150,,433.855,,6462.659,,23987.583,,105858.760,,-697.969,,22232.840,,19568.456,,306.538,,9504.468,,-1904.660,,13638.373,
2017-07,7217.277,,27807.791,,23403.716,,7139.038,,-12998.336,,81507.946,,-4628.530,,358.184,,11001.963,,17216.185,,20060.445,,-3486.125,,-4404.075,,-16690.107,,462.944,,5055.315,,26300.479,,101568.391,,723.001,,18166.878,,-7601.313,,436.398,,9683.845,,-3883.690,,10077.148,
2017-08,-11528.661,,29091.181,,23585.192,,7267.097,,9977.508,,80921.586,,-4129.179,,-4271.842,,10548.178,,16469.971,,20437.894,,-3418.066,,-5505.989,,26979.052,,-912.041,,4857.401,,3917.500,,101359.480,,983.277,,18069.822,,-7557.855,,36.211,,8986.580,,-1201.042,,9202.874,
2017-09,28540.601,,26039.752,,23484.938,,7456.107,,4106.860,,83717.127,,-3198.237,,2211.756,,33461.653,,16927.895,,25245.528,,2641.029,,-2554.814,,-22587.476,,601.569,,5319.891,,25211.726,,108962.655,,900.469,,26948.584,,6516.416,,-3.347,,8518.128,,-4058.022,,9471.788,
2017-10,-13503.888,,27469.153,,23149.490,,7531.808,,-22633.093,,86161.847,,-4384.488,,2168.409,,19510.455,,16604.632,,20270.419,,10661.672,,-4319.663,,-12000.196,,1176.470,,4590.792,,28972.597,,106432.266,,1332.809,,19098.076,,780.320,,-367.941,,8975.281,,702.582,,9072.824,
2017-11,30950.893,,25104.347,,24328.457,,8117.561,,18419.247,,89997.052,,-4583.428,,1724.395,,20050.041,,17054.180,,24304.592,,-5469.065,,-775.890,,-17464.532,,-269.758,,4649.989,,4661.736,,114301.644,,2707.881,,27062.836,,-6393.163,,-619.632,,9233.416,,3208.490,,8936.619,
2017-12,-38422.809,,28347.843,,30538.190,,13832.702,,-666.422,,80253.047,,-4645.866,,-20871.587,,34709.300,,22975.516,,15906.668,,1318.901,,2190.347,,45764.513,,-2352.589,,5215.548,,36589.819,,96159.715,,-180.409,,27283.850,,9524.963,,-2099.514,,9861.414,,12863.460,,9142.815,
2018-01,24223.544,,23878.279,,23015.115,,10016.130,,-16556.019,,87724.041,,-5228.375,,13567.252,,22020.667,,18687.046,,18116.578,,6655.889,,-863.163,,-51044.079,,-120.702,,4878.891,,32369.776,,105840.619,,-328.276,,22041.170,,-3267.700,,3247.197,,10107.265,,-3302.736,,8670.916,
2018-02,12073.079,,22151.007,,22219.168,,7792.033,,12547.828,,83976.207,,-5490.276,,-324.448,,12421.070,,18516.303,,19863.728,,2517.551,,68.161,,8106.221,,583.270,,8084.377,,-6106.958,,103839.935,,2879.378,,22233.646,,-10057.207,,244.630,,13574.653,,-7307.024,,10724.270,
2018-03,-31253.778,,25050.623,,24046.632,,11542.325,,14836.113,,88793.591,,-4112.726,,958.335,,41452.853,,20120.738,,26257.925,,19018.415,,-1003.991,,38723.707,,236.205,,5197.870,,8139.451,,115051.516,,-777.331,,32683.532,,8950.361,,-181.039,,9310.596,,6407.849,,8578.413,
2018-04,24111.845,,22950.438,,23226.020,,6471.267,,-973.758,,87588.233,,-2695.125,,7073.819,,36755.743,,19533.926,,20985.205,,13432.455,,275.583,,-29073.374,,-670.146,,6217.631,,22410.206,,108573.438,,2556.986,,25036.930,,11590.297,,128.516,,8912.755,,-3086.048,,13062.659,
2018-05,32859.160,,25571.080,,24490.420,,-3729.048,,2595.514,,86108.850,,-43.564,,-22397.194,,3793.792,,20519.967,,20786.287,,18077.990,,-1080.660,,-6861.222,,83.400,,8277.704,,-20449.788,,106895.137,,3486.675,,15933.015,,-12011.345,,-127.877,,8321.269,,-1005.229,,24249.015,
